,Worker,Job Profile,Department,Cross Appointments,IQC,CAMJ,CPTT,Climate,IPR,WCA,CTN,Game,WAT.AI,GHPI,WISA,MICRO,WISE,CCMIC,CPI,WICI,WIN,Water,CBB
115,David Toman,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,Eric Schost,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,Florian Kerschbaum,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
118,George Labahn,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
119,Gladimir Baranoski,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
120,Gordon Cormack,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
121,Ian Goldberg,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
122,Ihab Ilyas,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
123,James Munro,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,Jeffrey Shallit,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,Jesse Hoey,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
126,Jimmy Lin,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
127,Joanne Atlee,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,John Watrous,Professor,Cheriton School of Computer Science,AMATH,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,Justin Wan,Professor,Cheriton School of Computer Science,AMATH,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
130,Katherine Larson,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,Kenneth Salem,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,Lap Chi Lau,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,Lila Kari,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
134,Mark Giesbrecht,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
135,Martin Karsten,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
136,Michael Godfrey,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
137,Ming Li,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
138,N. Asokan,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
139,Olga Veksler,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
140,Ondrej Lhotak,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
141,Pascal Poupart,Professor,Cheriton School of Computer Science,STAT,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
142,Peter van Beek,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
143,Prabhakar Ragde,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,Raouf Boutaba,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
145,Richard Cleve,Professor,Cheriton School of Computer Science,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
146,Robin Cohen,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
147,Shai Ben-David,Professor,Cheriton School of Computer Science,STAT,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
148,Stephen Mann,Professor,Cheriton School of Computer Science,MECTRON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,Stephen Watt,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
150,Tamer Ozsu,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
151,Therese Biedl,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
152,Timothy Brecht,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,Yuri Boykov,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
154,Yuying Li,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
155,Jonathan Leake,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,Kanstantsin Pashkovich,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,Oliver Pechenik,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
158,Olya Mandelshtam,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
159,Pu Jane Gao,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,Sophie Spirkl,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
161,Stephen Melczer,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
162,Venkata Satya Purna Vijay Bhattiprolu,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
163,Walaa Moursi,Assistant Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,Alexander Peter Nelson,Associate Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
165,David Gosset,Associate Professor,Combinatorics and Optimization,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
166,Douglas Stebila,Associate Professor,Combinatorics and Optimization,CS,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
167,Jon Yard,Associate Professor,Combinatorics and Optimization,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
168,Kevin Purbhoo,Associate Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
169,Luke Postle,Associate Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,Alfred Menezes,Professor,Combinatorics and Optimization,CS,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
172,Ashwin Nayak,Professor,Combinatorics and Optimization,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
173,Bertrand Guenin,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174,Chaitanya Swamy,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
175,David Jao,Professor,Combinatorics and Optimization,CS,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
176,David Wagner,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,Debbie Leung,Professor,Combinatorics and Optimization,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
178,Henry Wolkowicz,Professor,Combinatorics and Optimization,AMATH,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
179,James Geelen,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180,Jochen Koenemann,Professor,Combinatorics and Optimization,CS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
181,Joseph Cheriyan,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182,Karen Yeats,Professor,Combinatorics and Optimization,CS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,Levent Tuncel,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,Michele Mosca,Professor,Combinatorics and Optimization,"CS, AMATH, PHYS",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
185,Penelope Haxell,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
